Name,Country,Owner,Use,Purpose,OrbitClass,Perigee,Apogee,Period,Mass,LaunchDate,COSPAR,NORAD,Comments
Astra 1D,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35776,35795,1436.08,2924,11/1/94,1994-070A,23331,Primarily backup for Astra 1B and 1C; 18 Ku-band transponders; continental Europe.
Astra 1F,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35778,35797,1436.15,3010,4/18/96,1996-021A,23842,Direct tv broadcast to Europe; 16 Ku-band transponders; Europe.
Astra 1G,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35780,35791,1436.08,3379,12/2/97,1997-076A,25071,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe
Astra 1H,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35776,35794,1436.04,3690,6/18/99,1999-033A,25785,"Direct-to-home tv; multimedia; broadcasting; 32 Ku-band for first five years, 28 after; Europe."
Astra 1KR,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35766,35807,1436.1,4332,4/20/06,2006-012A,29055,32 Ku-band transponders; direct-to-home broadcast services across Europe.
Astra 1L,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35772,35798,1436.03,4500,5/4/07,2007-016A,31306,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter."
Astra 1M,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35804,35852,1438.2,5345,11/5/08,2008-057A,33436,Direct-to-home and HD television.
Astra 1N,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35715,35780,1434.1,5350,8/6/11,2011-041A,37775,Direct-to-home and HD television.
Astra 2A,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35776,35797,1436.12,3635,8/30/98,1998-050A,25462,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after."
Astra 2B,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35772,35801,1436.11,3315,9/14/00,2000-054A,26494,"Direct-to-home; broadcasting, multimedia; 30 Ku-band for first five years, 28 after; UK and Ireland."
Astra 2C,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35768,35804,1436.12,3643,6/16/01,2001-025A,26853,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe"
Astra 2D,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,35770,35802,1436.1,1420,12/19/00,2000-081A,26638,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland."
